"cve","repo","cve_time","cwe_id","cwe","patch num","commit list","desc","cwe_type","commit"
"CVE-2008-5515","apache_tomcat","2008/12/12","CWE-22","[('CWE-22', ""Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"")]","2","c520031
60bb2ad","Apache Tomcat 4.1.0 through 4.1.39, 5.5.0 through 5.5.27, 6.0.0 through 6.0.18, and possibly earlier versions normalizes the target pathname before filtering the query string when using the RequestDispatcher method, which allows remote attackers to bypass intended access restrictions and conduct directory traversal attacks via .. (dot dot) sequences and the WEB-INF directory in a Request.","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","['c5200318b7f030d658f22b6c2f2ab6fd565d26a3', '60bb2ad3653c8e08052ccee653fb2f0901b94139']"
"CVE-2008-5518","apache_geronimo","2008/12/12","CWE-22","[('CWE-22', ""Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"")]","3","67dda07
f8a612d
aa0c2c2","Multiple directory traversal vulnerabilities in the web administration console in Apache Geronimo Application Server 2.1 through 2.1.3 on Windows allow remote attackers to upload files to arbitrary directories via directory traversal sequences in the (1) group, (2) artifact, (3) version, or (4) fileType parameter to console/portal//Services/Repository (aka the Services/Repository portlet); the (5) createDB parameter to console/portal/Embedded DB/DB Manager (aka the Embedded DB/DB Manager portlet); or the (6) filename parameter to the createKeystore script in the Security/Keystores portlet.","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","['67dda0760bb0925ead201ddd5d809ff53686d63f', 'f8a612df7b06729bfd6c826e1a110d4bb40dc1f5', 'aa0c2c26dde8930cad924796af7c17a13d236b16']"
"CVE-2009-0038","apache_geronimo","2008/12/15","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","3","f8a612d
aa0c2c2
67dda07","Multiple cross-site scripting (XSS) vulnerabilities in the web administration console in Apache Geronimo Application Server 2.1 through 2.1.3 allow remote attackers to inject arbitrary web script or HTML via the (1) name, (2) ip, (3) username, or (4) description parameter to console/portal/Server/Monitoring; or (5) the PATH_INFO to the default URI under console/portal/.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['f8a612df7b06729bfd6c826e1a110d4bb40dc1f5', 'aa0c2c26dde8930cad924796af7c17a13d236b16', '67dda0760bb0925ead201ddd5d809ff53686d63f']"
"CVE-2009-0039","apache_geronimo","2008/12/15","CWE-352","[('CWE-352', 'Cross-Site Request Forgery (CSRF)')]","3","f8a612d
aa0c2c2
67dda07","Multiple cross-site request forgery (CSRF) vulnerabilities in the web administration console in Apache Geronimo Application Server 2.1 through 2.1.3 allow remote attackers to hijack the authentication of administrators for requests that (1) change the web administration password, (2) upload applications, and perform unspecified other administrative actions, as demonstrated by (3) a Shutdown request to console/portal//Server/Shutdown.","Cross-Site Request Forgery (CSRF)","['f8a612df7b06729bfd6c826e1a110d4bb40dc1f5', 'aa0c2c26dde8930cad924796af7c17a13d236b16', '67dda0760bb0925ead201ddd5d809ff53686d63f']"
"CVE-2009-0217","mono_mono","2009/01/20","NVD-CWE-Other","[('NVD-CWE-Other', 'Other')]","7","939994d
c20551c
8bb4897
c48fa75
cbfbf2f
3b1cee2
14846e6","The design of the W3C XML Signature Syntax and Processing (XMLDsig) recommendation, as implemented in products including (1) the Oracle Security Developer Tools component in Oracle Application Server 10.1.2.3, 10.1.3.4, and 10.1.4.3IM; (2) the WebLogic Server component in BEA Product Suite 10.3, 10.0 MP1, 9.2 MP3, 9.1, 9.0, and 8.1 SP6; (3) Mono before 2.4.2.2; (4) XML Security Library before 1.2.12; (5) IBM WebSphere Application Server Versions 6.0 through 6.0.2.33, 6.1 through 6.1.0.23, and 7.0 through 7.0.0.1; (6) Sun JDK and JRE Update 14 and earlier; (7) Microsoft .NET Framework 3.0 through 3.0 SP2, 3.5, and 4.0; and other products uses a parameter that defines an HMAC truncation length (HMACOutputLength) but does not require a minimum for this length, which allows attackers to spoof HMAC-based signatures and bypass authentication by specifying a truncation length with a small number of bits.","Other","['939994df00fc3e1372b9dc1243e261e2f6c6c133', 'c20551c1942db667672b36a07856467caace2d92', '8bb489774f42a734947859a1742ee5710efd9b49', 'c48fa75d0c8f8e16a554de988cbadcb298fce013', 'cbfbf2f522399692d0edf7741746e300453338ca', '3b1cee23d6f2f69f8444a5a1def4051028abff5f', '14846e6f2f0c8e95b3eec525ee9367bcd0']"
"CVE-2009-3555","eclipse_jetty.project","2009/10/05","CWE-295","[('CWE-295', 'Improper Certificate Validation')]","3","102625b
b90ad09
b4390f9","The TLS protocol, and the SSL protocol 3.0 and possibly earlier, as used in Microsoft Internet Information Services (IIS) 7.0, mod_ssl in the Apache HTTP Server 2.2.14 and earlier, OpenSSL before 0.9.8l, GnuTLS 2.8.5 and earlier, Mozilla Network Security Services (NSS) 3.12.4 and earlier, multiple Cisco products, and other products, does not properly associate renegotiation handshakes with an existing connection, which allows man-in-the-middle attackers to insert data into HTTPS sessions, and possibly other types of sessions protected by TLS or SSL, by sending an unauthenticated request that is processed retroactively by a server in a post-renegotiation context, related to a ""plaintext injection"" attack, aka the ""Project Mogul"" issue.","Improper Certificate Validation","['102625b86c8e82e0e3d02a71028ba62795aff52b', 'b90ad09443e1771e37d23e393afe842759c20454', 'b4390f98529fce165e6394b94122b427fdfb8a5e']"
"CVE-2010-0432","apache_ofbiz","2010/01/27","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","8","34125e4
8bf8fbd
eef44e3
5aa135f
13c980b
50983b7
232fb42
e47a658","Multiple cross-site scripting (XSS) vulnerabilities in the Apache Open For Business Project (aka OFBiz) 09.04 and earlier, as used in Opentaps, Neogia, and Entente Oya, allow remote attackers to inject arbitrary web script or HTML via (1) the productStoreId parameter to control/exportProductListing, (2) the partyId parameter to partymgr/control/viewprofile (aka partymgr/control/login), (3) the start parameter to myportal/control/showPortalPage, (4) an invalid URI beginning with /facility/control/ReceiveReturn (aka /crmsfa/control/ReceiveReturn or /cms/control/ReceiveReturn), (5) the contentId parameter (aka the entityName variable) to ecommerce/control/ViewBlogArticle, (6) the entityName parameter to webtools/control/FindGeneric, or the (7) subject or (8) content parameter to an unspecified component under ecommerce/control/contactus.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['34125e42d1db74064482c296c871e11c92dc4527', '8bf8fbddc409167774ae425b17d81928481a9ae0', 'eef44e37a15f5850171c3aae15b1777ce8de847d', '5aa135f01ddcaa227c3db72bb08715bbb2ca19d2', '13c980be3edf51dee1a3e5acfbeaa5101ee27834', '50983b72a329851f88a013630b718efbd4c291bf', '232fb428b7c6b11a518bca942613e458f1960f94', 'e47a65896bd12e23e090436c0b6e2478f162ae3e']"
"CVE-2010-0684","apache_activemq","2010/02/22","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","4","1f464b9
fed39c3
2895197
9dc43f3","Cross-site scripting (XSS) vulnerability in createDestination.action in Apache ActiveMQ before 5.3.1 allows remote authenticated users to inject arbitrary web script or HTML via the JMSDestination parameter in a queue action.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['1f464b9412e1b1c08d40c8ffac40edd52731da48', 'fed39c3619825bd92990cf1aa7a4e85119e00a6e', '2895197d0dad246757d8d1d9eea181cbf0543ae9', '9dc43f3ffe85c9c56faee235a21f23bfceb865c8']"
"CVE-2010-1152","memcached_memcached","2010/03/29","CWE-20","[('CWE-20', 'Improper Input Validation')]","2","d9cd01e
75cc836","memcached.c in memcached before 1.4.3 allows remote attackers to cause a denial of service (daemon hang or crash) via a long line that triggers excessive memory allocation.  NOTE: some of these details are obtained from third party information.","Improper Input Validation","['d9cd01ede97f4145af9781d448c62a3318952719', '75cc83685e103bc8ba380a57468c8f04413033f9']"
"CVE-2010-1157","apache_tomcat","2010/03/29","CWE-200","[('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')]","2","a4de93b
db32c25","Apache Tomcat 5.5.0 through 5.5.29 and 6.0.0 through 6.0.26 might allow remote attackers to discover the server's hostname or IP address by sending a request for a resource that requires (1) BASIC or (2) DIGEST authentication, and then reading the realm field in the WWW-Authenticate header in the reply.","Exposure of Sensitive Information to an Unauthorized Actor","['a4de93b2aaf74fff7c1e194f7ce3d2228a9680b8', 'db32c25e06e1b0a5a274cad4cfc1ad35ff7c0e9a']"
